CMDLINE python bst.py
MEM 76.183594 1683720380.2684
MEM 76.183594 1683720380.3707
MEM 76.183594 1683720380.4719
MEM 76.183594 1683720380.5768
MEM 76.183594 1683720380.6780
MEM 76.183594 1683720380.7790
MEM 76.183594 1683720380.8792
MEM 76.183594 1683720380.9838
MEM 76.183594 1683720381.0883
MEM 76.183594 1683720381.1931
MEM 76.183594 1683720381.2974
MEM 76.183594 1683720381.4026
MEM 76.183594 1683720381.5061
MEM 76.183594 1683720381.6065
MEM 76.183594 1683720381.7103
MEM 76.183594 1683720381.8124
MEM 76.183594 1683720381.9141
MEM 76.183594 1683720382.0149
MEM 76.183594 1683720382.1192
MEM 76.183594 1683720382.2214
MEM 76.183594 1683720382.3225
MEM 76.183594 1683720382.4255
MEM 76.183594 1683720382.5274
MEM 76.183594 1683720382.6301
MEM 76.183594 1683720382.7332
MEM 76.183594 1683720382.8374
MEM 76.183594 1683720382.9423
MEM 76.183594 1683720383.0449
MEM 76.183594 1683720383.1489
MEM 76.183594 1683720383.2517
MEM 76.183594 1683720383.3537
MEM 76.183594 1683720383.4585
MEM 76.183594 1683720383.5587
MEM 76.183594 1683720383.6591
MEM 76.183594 1683720383.7630
MEM 76.183594 1683720383.8663
MEM 76.183594 1683720383.9706
MEM 76.183594 1683720384.0732
MEM 76.183594 1683720384.1770
MEM 76.183594 1683720384.2783
MEM 76.183594 1683720384.3790
MEM 76.183594 1683720384.4824
MEM 76.183594 1683720384.5884
MEM 76.183594 1683720384.6928
MEM 76.183594 1683720384.7950
MEM 76.183594 1683720384.8989
MEM 76.199219 1683720384.9994
MEM 76.230469 1683720385.1045
MEM 76.230469 1683720385.2079
MEM 76.230469 1683720385.3124
MEM 76.230469 1683720385.4177
MEM 76.230469 1683720385.5220
MEM 76.238281 1683720385.6257
MEM 76.238281 1683720385.7271
MEM 76.238281 1683720385.8297
MEM 76.238281 1683720385.9332
MEM 76.238281 1683720386.0371
MEM 76.238281 1683720386.1416
MEM 76.238281 1683720386.2430
MEM 76.238281 1683720386.3459
MEM 76.238281 1683720386.4504
MEM 76.238281 1683720386.5525
MEM 76.238281 1683720386.6572
MEM 76.238281 1683720386.7592
MEM 76.238281 1683720386.8608
MEM 76.238281 1683720386.9647
MEM 76.238281 1683720387.0660
MEM 76.554688 1683720387.1706
MEM 76.996094 1683720387.2730
MEM 77.167969 1683720387.3764
MEM 77.167969 1683720387.4773
MEM 77.167969 1683720387.5778
MEM 77.167969 1683720387.6825
MEM 77.167969 1683720387.7828
MEM 77.167969 1683720387.8838
MEM 77.167969 1683720387.9883
MEM 77.167969 1683720388.0909
MEM 77.167969 1683720388.1945
MEM 77.167969 1683720388.2986
MEM 77.167969 1683720388.4010
MEM 77.167969 1683720388.5061
MEM 77.167969 1683720388.6100
MEM 77.167969 1683720388.7106
MEM 77.167969 1683720388.8138
MEM 77.167969 1683720388.9189
MEM 77.167969 1683720389.0194
MEM 77.167969 1683720389.1204
MEM 77.167969 1683720389.2216
MEM 77.167969 1683720389.3252
MEM 77.167969 1683720389.4264
MEM 77.167969 1683720389.5287
MEM 77.167969 1683720389.6291
MEM 77.167969 1683720389.7305
MEM 77.167969 1683720389.8310
MEM 77.167969 1683720389.9324
MEM 77.167969 1683720390.0327
MEM 77.167969 1683720390.1337
MEM 77.167969 1683720390.2358
MEM 77.167969 1683720390.3367
MEM 77.167969 1683720390.4370
MEM 77.167969 1683720390.5374
MEM 77.167969 1683720390.6410
MEM 77.167969 1683720390.7458
MEM 77.167969 1683720390.8466
MEM 77.167969 1683720390.9513
MEM 77.167969 1683720391.0546
MEM 77.167969 1683720391.1582
MEM 77.167969 1683720391.2593
MEM 77.167969 1683720391.3602
MEM 77.167969 1683720391.4625
MEM 77.167969 1683720391.5653
MEM 77.167969 1683720391.6661
MEM 77.167969 1683720391.7667
MEM 77.167969 1683720391.8672
MEM 77.167969 1683720391.9721
MEM 77.167969 1683720392.0733
MEM 77.167969 1683720392.1736
MEM 77.167969 1683720392.2762
MEM 77.167969 1683720392.3792
MEM 77.167969 1683720392.4814
MEM 77.167969 1683720392.5827
MEM 77.167969 1683720392.6850
MEM 77.167969 1683720392.7857
MEM 77.167969 1683720392.8872
MEM 77.167969 1683720392.9874
MEM 77.167969 1683720393.0902
MEM 77.167969 1683720393.1908
MEM 77.167969 1683720393.2933
MEM 77.167969 1683720393.3941
MEM 77.167969 1683720393.4943
MEM 77.167969 1683720393.5964
MEM 77.167969 1683720393.6985
MEM 77.167969 1683720393.7994
MEM 77.167969 1683720393.9016
MEM 77.167969 1683720394.0053
MEM 77.167969 1683720394.1086
MEM 77.167969 1683720394.2090
MEM 77.167969 1683720394.3131
MEM 77.167969 1683720394.4183
MEM 77.167969 1683720394.5187
MEM 77.167969 1683720394.6216
MEM 77.167969 1683720394.7225
MEM 77.167969 1683720394.8278
MEM 77.167969 1683720394.9282
MEM 77.167969 1683720395.0294
MEM 77.167969 1683720395.1346
MEM 77.167969 1683720395.2373
